date,confirmed_cases,Face_Masks_Required_in_Public,death,current_population,change_in_daily_cases
2020-01-22,0,unknown,0,1250578,
2020-01-23,0,unknown,0,1250578,0.0
2020-01-24,0,unknown,0,1250578,0.0
2020-01-25,0,unknown,0,1250578,0.0
2020-01-26,0,unknown,0,1250578,0.0
2020-01-27,0,unknown,0,1250578,0.0
2020-01-28,0,unknown,0,1250578,0.0
2020-01-29,0,unknown,0,1250578,0.0
2020-01-30,0,unknown,0,1250578,0.0
2020-01-31,0,unknown,0,1250578,0.0
2020-02-01,0,unknown,0,1250578,0.0
2020-02-02,0,unknown,0,1250578,0.0
2020-02-03,0,unknown,0,1250578,0.0
2020-02-04,0,unknown,0,1250578,0.0
2020-02-05,0,unknown,0,1250578,0.0
2020-02-06,0,unknown,0,1250578,0.0
2020-02-07,0,unknown,0,1250578,0.0
2020-02-08,0,unknown,0,1250578,0.0
2020-02-09,0,unknown,0,1250578,0.0
2020-02-10,0,unknown,0,1250578,0.0
2020-02-11,0,unknown,0,1250578,0.0
2020-02-12,0,unknown,0,1250578,0.0
2020-02-13,0,unknown,0,1250578,0.0
2020-02-14,0,unknown,0,1250578,0.0
2020-02-15,0,unknown,0,1250578,0.0
2020-02-16,0,unknown,0,1250578,0.0
2020-02-17,0,unknown,0,1250578,0.0
2020-02-18,0,unknown,0,1250578,0.0
2020-02-19,0,unknown,0,1250578,0.0
2020-02-20,0,unknown,0,1250578,0.0
2020-02-21,0,unknown,0,1250578,0.0
2020-02-22,0,unknown,0,1250578,0.0
2020-02-23,0,unknown,0,1250578,0.0
2020-02-24,0,unknown,0,1250578,0.0
2020-02-25,0,unknown,0,1250578,0.0
2020-02-26,0,unknown,0,1250578,0.0
2020-02-27,0,unknown,0,1250578,0.0
2020-02-28,0,unknown,0,1250578,0.0
2020-02-29,0,unknown,0,1250578,0.0
2020-03-01,0,unknown,0,1250578,0.0
2020-03-02,0,unknown,0,1250578,0.0
2020-03-03,0,unknown,0,1250578,0.0
2020-03-04,0,unknown,0,1250578,0.0
2020-03-05,0,unknown,0,1250578,0.0
2020-03-06,0,unknown,0,1250578,0.0
2020-03-07,0,unknown,0,1250578,0.0
2020-03-08,0,unknown,0,1250578,0.0
2020-03-09,0,unknown,0,1250578,0.0
2020-03-10,0,unknown,0,1250578,0.0
2020-03-11,0,unknown,0,1250578,0.0
2020-03-12,0,unknown,0,1250578,0.0
2020-03-13,0,unknown,0,1250578,0.0
2020-03-14,2,unknown,0,1250578,2.0
2020-03-15,2,unknown,0,1250578,0.0
2020-03-16,6,unknown,0,1250578,4.0
2020-03-17,10,unknown,0,1250578,4.0
2020-03-18,13,unknown,0,1250578,3.0
2020-03-19,18,unknown,0,1250578,5.0
2020-03-20,28,unknown,0,1250578,10.0
2020-03-21,31,unknown,1,1250577,3.0
2020-03-22,40,unknown,1,1250576,9.0
2020-03-23,48,unknown,1,1250575,8.0
2020-03-24,58,unknown,2,1250573,10.0
2020-03-25,88,unknown,2,1250571,30.0
2020-03-26,133,unknown,2,1250569,45.0
2020-03-27,158,unknown,2,1250567,25.0
2020-03-28,219,unknown,2,1250565,61.0
2020-03-29,265,unknown,2,1250563,46.0
2020-03-30,290,unknown,2,1250561,25.0
2020-03-31,325,unknown,2,1250559,35.0
2020-04-01,356,unknown,2,1250557,31.0
2020-04-02,421,unknown,2,1250555,65.0
2020-04-03,478,unknown,2,1250553,57.0
2020-04-04,549,unknown,3,1250550,71.0
2020-04-05,591,unknown,4,1250546,42.0
2020-04-06,626,unknown,4,1250542,35.0
2020-04-07,676,unknown,6,1250536,50.0
2020-04-08,714,unknown,10,1250526,38.0
2020-04-09,752,unknown,12,1250514,38.0
2020-04-10,787,No,18,1250496,35.0
2020-04-11,834,No,19,1250477,47.0
2020-04-12,863,No,19,1250458,29.0
2020-04-13,878,No,21,1250437,15.0
2020-04-14,890,No,24,1250413,12.0
2020-04-15,902,No,26,1250387,12.0
2020-04-16,926,No,38,1250349,24.0
2020-04-17,947,No,43,1250306,21.0
2020-04-18,1006,No,47,1250259,59.0
2020-04-19,1034,Yes,50,1250209,28.0
2020-04-20,1042,Yes,55,1250154,8.0
2020-04-21,1058,Yes,67,1250087,16.0
2020-04-22,1086,Yes,74,1250013,28.0
2020-04-23,1153,Yes,74,1249939,67.0
2020-04-24,1181,Yes,74,1249865,28.0
2020-04-25,1198,Yes,73,1249792,17.0
2020-04-26,1206,Yes,73,1249719,8.0
2020-04-27,1218,Yes,79,1249640,12.0
2020-04-28,1240,Yes,87,1249553,22.0
2020-04-29,1272,Yes,86,1249467,32.0
2020-04-30,1289,Yes,94,1249373,17.0
2020-05-01,1313,Yes,99,1249274,24.0
2020-05-02,1328,Yes,102,1249172,15.0
2020-05-03,1338,Yes,102,1249070,10.0
2020-05-04,1358,Yes,102,1248968,20.0
2020-05-05,1366,Yes,109,1248859,8.0
2020-05-06,1387,Yes,111,1248748,21.0
2020-05-07,1430,Yes,117,1248631,43.0
2020-05-08,1442,Yes,119,1248512,12.0
2020-05-09,1471,Yes,120,1248392,29.0
2020-05-10,1487,Yes,122,1248270,16.0
2020-05-11,1494,Yes,123,1248147,7.0
2020-05-12,1509,Yes,127,1248020,15.0
2020-05-13,1526,Yes,139,1247881,17.0
2020-05-14,1535,Yes,139,1247742,9.0
2020-05-15,1566,Yes,141,1247601,31.0
2020-05-16,1573,Yes,143,1247458,7.0
2020-05-17,1579,Yes,143,1247315,6.0
2020-05-18,1611,Yes,143,1247172,32.0
2020-05-19,1630,Yes,145,1247027,19.0
2020-05-20,1655,Yes,147,1246880,25.0
2020-05-21,1690,Yes,148,1246732,35.0
2020-05-22,1712,Yes,154,1246578,22.0
2020-05-23,1722,Yes,158,1246420,10.0
2020-05-24,1746,Yes,159,1246261,24.0
2020-05-25,1765,Yes,160,1246101,19.0
2020-05-26,1777,Yes,160,1245941,12.0
2020-05-27,1789,Yes,160,1245781,12.0
2020-05-28,1812,Yes,161,1245620,23.0
2020-05-29,1832,Yes,162,1245458,20.0
2020-05-30,1853,Yes,163,1245295,21.0
2020-05-31,1865,Yes,163,1245132,12.0
2020-06-01,1872,Yes,164,1244968,7.0
2020-06-02,1881,Yes,165,1244803,9.0
2020-06-03,1900,Yes,166,1244637,19.0
2020-06-04,1918,Yes,166,1244471,18.0
2020-06-05,1927,Yes,168,1244303,9.0
2020-06-06,1939,Yes,168,1244135,12.0
2020-06-07,1958,Yes,168,1243967,19.0
2020-06-08,1963,Yes,169,1243798,5.0
2020-06-09,1982,Yes,169,1243629,19.0
2020-06-10,1989,Yes,170,1243459,7.0
2020-06-11,2011,Yes,171,1243288,22.0
2020-06-12,2022,Yes,171,1243117,11.0
2020-06-13,2032,Yes,172,1242945,10.0
2020-06-14,2034,Yes,172,1242773,2.0
2020-06-15,2040,Yes,174,1242599,6.0
2020-06-16,2065,Yes,177,1242422,25.0
2020-06-17,2071,Yes,177,1242245,6.0
2020-06-18,2080,Yes,177,1242068,9.0
2020-06-19,2096,Yes,178,1241890,16.0
2020-06-20,2116,Yes,179,1241711,20.0
2020-06-21,2134,Yes,179,1241532,18.0
2020-06-22,2178,Yes,179,1241353,44.0
2020-06-23,2205,Yes,179,1241174,27.0
2020-06-24,2246,Yes,180,1240994,41.0
2020-06-25,2286,Yes,182,1240812,40.0
2020-06-26,2345,Yes,183,1240629,59.0
2020-06-27,2438,Yes,183,1240446,93.0
2020-06-28,2543,Yes,183,1240263,105.0
2020-06-29,2641,Yes,183,1240080,98.0
2020-06-30,2727,Yes,183,1239897,86.0
2020-07-01,2839,Yes,187,1239710,112.0
2020-07-02,3070,Yes,188,1239522,231.0
2020-07-03,3243,Yes,190,1239332,173.0
2020-07-04,3401,Yes,190,1239142,158.0
2020-07-05,3524,Yes,190,1238952,123.0
2020-07-06,3740,Yes,190,1238762,216.0
2020-07-07,3954,Yes,190,1238572,214.0
2020-07-08,4176,Yes,190,1238382,222.0
2020-07-09,4376,Yes,193,1238189,200.0
2020-07-10,4525,Yes,193,1237996,149.0
2020-07-11,4727,Yes,193,1237803,202.0
2020-07-12,4918,Yes,195,1237608,191.0
2020-07-13,5002,Yes,197,1237411,84.0
2020-07-14,5321,Yes,199,1237212,319.0
2020-07-15,5571,Yes,201,1237011,250.0
2020-07-16,5737,Yes,201,1236810,166.0
2020-07-17,5966,Yes,202,1236608,229.0
2020-07-18,6093,Yes,203,1236405,127.0
2020-07-19,6239,Yes,205,1236200,146.0
2020-07-20,6413,Yes,208,1235992,174.0
2020-07-21,6554,Yes,211,1235781,141.0
2020-07-22,6664,Yes,214,1235567,110.0
2020-07-23,6822,Yes,214,1235353,158.0
2020-07-24,7006,Yes,216,1235137,184.0
2020-07-25,7164,Yes,218,1234919,158.0
2020-07-26,7279,Yes,218,1234701,115.0
2020-07-27,7452,Yes,218,1234483,173.0
2020-07-28,7600,Yes,223,1234260,148.0
2020-07-29,7707,Yes,227,1234033,107.0
2020-07-30,7842,Yes,227,1233806,135.0
2020-07-31,8084,Yes,230,1233576,242.0
2020-08-01,8145,Yes,233,1233343,61.0
2020-08-02,8228,Yes,234,1233109,83.0
2020-08-03,8296,Yes,234,1232875,68.0
2020-08-04,8431,Yes,237,1232638,135.0
2020-08-05,8504,Yes,239,1232399,73.0
2020-08-06,8605,Yes,243,1232156,101.0
2020-08-07,8702,Yes,244,1231912,97.0
2020-08-08,8796,Yes,247,1231665,94.0
2020-08-09,8862,Yes,247,1231418,66.0
2020-08-10,8933,Yes,247,1231171,71.0
2020-08-11,9008,Yes,254,1230917,75.0
2020-08-12,9094,Yes,259,1230658,86.0
2020-08-13,9205,Yes,260,1230398,111.0
2020-08-14,9293,Yes,265,1230133,88.0
2020-08-15,9381,Yes,269,1229864,88.0
2020-08-16,9468,Yes,270,1229594,87.0
2020-08-17,9519,Yes,270,1229324,51.0
2020-08-18,9563,Yes,274,1229050,44.0
2020-08-19,9595,Yes,277,1228773,32.0
2020-08-20,9696,Yes,282,1228491,101.0
2020-08-21,9776,Yes,287,1228204,80.0
2020-08-22,9845,Yes,291,1227913,69.0
2020-08-23,9924,Yes,293,1227620,79.0
2020-08-24,9955,Yes,293,1227327,31.0
2020-08-25,10010,Yes,296,1227031,55.0
2020-08-26,10038,Yes,301,1226730,28.0
2020-08-27,10088,Yes,304,1226426,50.0
2020-08-28,10158,Yes,311,1226115,70.0
2020-08-29,10228,Yes,313,1225802,70.0
2020-08-30,10322,Yes,313,1225489,94.0
2020-08-31,10360,Yes,313,1225176,38.0
2020-09-01,10402,Yes,314,1224862,42.0
2020-09-02,10464,Yes,316,1224546,62.0
2020-09-03,10568,Yes,324,1224222,104.0
2020-09-04,10660,Yes,324,1223898,92.0
2020-09-05,10728,Yes,325,1223573,68.0
2020-09-06,10782,Yes,325,1223248,54.0
2020-09-07,10833,Yes,327,1222921,51.0
2020-09-08,10875,Yes,327,1222594,42.0
2020-09-09,10931,Yes,330,1222264,56.0
2020-09-10,10984,Yes,330,1221934,53.0
2020-09-11,11089,Yes,331,1221603,105.0
2020-09-12,11151,Yes,331,1221272,62.0
2020-09-13,11241,Yes,331,1220941,90.0
2020-09-14,11294,Yes,335,1220606,53.0
2020-09-15,11382,Yes,335,1220271,88.0
2020-09-16,11452,Yes,341,1219930,70.0
2020-09-17,11542,Yes,342,1219588,90.0
2020-09-18,11609,Yes,344,1219244,67.0
2020-09-19,11691,Yes,345,1218899,82.0
2020-09-20,11758,Yes,347,1218552,67.0
2020-09-21,11804,Yes,349,1218203,46.0
2020-09-22,11847,Yes,351,1217852,43.0
2020-09-23,11899,Yes,354,1217498,52.0
2020-09-24,11961,Yes,354,1217144,62.0
2020-09-25,12022,Yes,354,1216790,61.0
2020-09-26,12121,Yes,355,1216435,99.0
2020-09-27,12182,Yes,355,1216080,61.0
2020-09-28,12252,Yes,355,1215725,70.0
2020-09-29,12318,Yes,357,1215368,66.0
2020-09-30,12372,Yes,361,1215007,54.0
2020-10-01,12488,Yes,361,1214646,116.0
2020-10-02,12556,Yes,362,1214284,68.0
2020-10-03,12663,Yes,363,1213921,107.0
2020-10-04,12760,Yes,364,1213557,97.0
2020-10-05,12817,Yes,364,1213193,57.0
2020-10-06,12893,Yes,367,1212826,76.0
2020-10-07,12929,Yes,370,1212456,36.0
2020-10-08,13043,Yes,371,1212085,114.0
2020-10-09,13140,Yes,371,1211714,97.0
2020-10-10,13234,Yes,372,1211342,94.0
2020-10-11,13319,Yes,373,1210969,85.0
2020-10-12,13393,Yes,374,1210595,74.0
2020-10-13,13469,Yes,375,1210220,76.0
2020-10-14,13567,Yes,378,1209842,98.0
2020-10-15,13703,Yes,383,1209459,136.0
2020-10-16,13847,Yes,387,1209072,144.0
2020-10-17,13984,Yes,387,1208685,137.0
2020-10-18,14095,Yes,391,1208294,111.0
2020-10-19,14192,Yes,392,1207902,97.0
2020-10-20,14303,Yes,395,1207507,111.0
2020-10-21,14425,Yes,397,1207110,122.0
2020-10-22,14559,Yes,399,1206711,134.0
2020-10-23,14731,Yes,403,1206308,172.0
2020-10-24,14851,Yes,405,1205903,120.0
2020-10-25,14958,Yes,407,1205496,107.0
2020-10-26,15030,Yes,407,1205089,72.0
2020-10-27,15126,Yes,410,1204679,96.0
2020-10-28,15319,Yes,411,1204268,193.0
2020-10-29,15470,Yes,416,1203852,151.0
2020-10-30,15657,Yes,416,1203436,187.0
2020-10-31,15812,Yes,419,1203017,155.0
2020-11-01,15948,Yes,419,1202598,136.0
2020-11-02,16077,Yes,421,1202177,129.0
2020-11-03,16237,Yes,423,1201754,160.0
2020-11-04,16463,Yes,426,1201328,226.0
2020-11-05,16645,Yes,430,1200898,182.0
2020-11-06,16884,Yes,433,1200465,239.0
2020-11-07,17171,Yes,433,1200032,287.0
2020-11-08,17423,Yes,433,1199599,252.0
2020-11-09,17695,Yes,433,1199166,272.0
2020-11-10,18021,Yes,435,1198731,326.0
2020-11-11,18410,Yes,436,1198295,389.0
2020-11-12,18798,Yes,440,1197855,388.0
2020-11-13,19190,Yes,440,1197415,392.0
2020-11-14,19563,Yes,440,1196975,373.0
2020-11-15,20098,Yes,443,1196532,535.0
2020-11-16,20581,Yes,443,1196089,483.0
2020-11-17,20889,Yes,445,1195644,308.0
2020-11-18,21509,Yes,453,1195191,620.0
2020-11-19,22118,Yes,462,1194729,609.0
2020-11-20,22627,Yes,467,1194262,509.0
2020-11-21,23221,Yes,475,1193787,594.0
2020-11-22,23786,Yes,476,1193311,565.0
2020-11-23,24192,Yes,478,1192833,406.0
2020-11-24,24716,Yes,480,1192353,524.0
2020-11-25,25355,Yes,493,1191860,639.0
2020-11-26,26111,Yes,498,1191362,756.0
2020-11-27,26939,Yes,501,1190861,828.0
2020-11-28,27620,Yes,501,1190360,681.0
2020-11-29,28129,Yes,505,1189855,509.0
2020-11-30,28535,Yes,510,1189345,406.0
2020-12-01,29235,Yes,518,1188827,700.0
2020-12-02,29837,Yes,536,1188291,602.0
2020-12-03,30714,Yes,551,1187740,877.0
2020-12-04,31623,Yes,560,1187180,909.0
2020-12-05,32787,Yes,564,1186616,1164.0
2020-12-06,33650,Yes,570,1186046,863.0
2020-12-07,34290,Yes,573,1185473,640.0
2020-12-08,34994,Yes,588,1184885,704.0
2020-12-09,35727,Yes,608,1184277,733.0
2020-12-10,36847,Yes,635,1183642,1120.0
2020-12-11,38304,Yes,657,1182985,1457.0
2020-12-12,39489,Yes,681,1182304,1185.0
2020-12-13,40279,Yes,691,1181613,790.0
2020-12-14,40976,Yes,696,1180917,697.0
2020-12-15,42085,Yes,717,1180200,1109.0
2020-12-16,43120,Yes,741,1179459,1035.0
2020-12-17,43960,Yes,767,1178692,840.0
2020-12-18,44884,Yes,791,1177901,924.0
2020-12-19,45887,Yes,815,1177086,1003.0
2020-12-20,46489,Yes,823,1176263,602.0
2020-12-21,47240,Yes,830,1175433,751.0
2020-12-22,48114,Yes,845,1174588,874.0
2020-12-23,48960,Yes,867,1173721,846.0
2020-12-24,49834,Yes,888,1172833,874.0
2020-12-25,50483,Yes,899,1171934,649.0
2020-12-26,50990,Yes,906,1171028,507.0
2020-12-27,51379,Yes,916,1170112,389.0
2020-12-28,51577,Yes,925,1169187,198.0
2020-12-29,52598,Yes,952,1168235,1021.0
2020-12-30,53293,Yes,977,1167258,695.0
2020-12-31,53940,Yes,1009,1166249,647.0
2021-01-01,54764,Yes,1036,1165213,824.0
2021-01-02,55505,Yes,1041,1164172,741.0
2021-01-03,55940,Yes,1047,1163125,435.0
2021-01-04,56359,Yes,1055,1162070,419.0
2021-01-05,56951,Yes,1070,1161000,592.0
2021-01-06,57881,Yes,1099,1159901,930.0
2021-01-07,58526,Yes,1118,1158783,645.0
2021-01-08,59481,Yes,1143,1157640,955.0
2021-01-09,60308,Yes,1173,1156467,827.0
2021-01-10,60856,Yes,1180,1155287,548.0
2021-01-11,61201,Yes,1192,1154095,345.0
2021-01-12,61916,Yes,1208,1152887,715.0
2021-01-13,62563,Yes,1253,1151634,647.0
2021-01-14,63056,Yes,1277,1150357,493.0
2021-01-15,63540,Yes,1302,1149055,484.0
2021-01-16,64106,Yes,1322,1147733,566.0
2021-01-17,64555,Yes,1334,1146399,449.0
2021-01-18,64816,Yes,1336,1145063,261.0
