Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose,Bivalent Booster 1
12/14/2020,Allegheny,15,3,,,
12/14/2020,Beaver,1,,,,
12/14/2020,Berks,1,,,,
12/14/2020,Bucks,5,,,,
12/14/2020,Chester,2,,,,
06/12/2022,Northumberland,,,1,3,
12/14/2020,Delaware,1,,,,
12/14/2020,Erie,2,,,,
12/14/2020,Franklin,1,,,,
12/14/2020,Lackawanna,1,,,,
12/14/2020,Lancaster,4,,,,
12/14/2020,Lehigh,4,,,,
12/14/2020,Luzerne,1,,,,
12/14/2020,Lycoming,1,,,,
12/14/2020,Mifflin,1,,,,
12/14/2020,Montgomery,4,,,,
12/14/2020,Montour,2,,,,
12/28/2021,Lackawanna,307,184,805,,
12/14/2020,Pike,2,,,,
12/14/2020,Schuylkill,1,,,,
12/14/2020,Union,1,,,,
12/14/2020,Washington,1,,,,
12/14/2020,Westmoreland,3,,,,
12/14/2020,Out-of-State,2,,,,
12/15/2020,Adams,1,,,,
12/15/2020,Allegheny,10,4,,,
12/15/2020,Berks,1,,,,
12/15/2020,Bucks,11,,,,
12/15/2020,Butler,1,,,,
12/15/2020,Cambria,1,1,,,
12/15/2020,Carbon,,1,,,
12/15/2020,Centre,6,,,,
12/15/2020,Chester,10,,,,
12/15/2020,Crawford,10,,,,
12/15/2020,Cumberland,2,,,,
12/15/2020,Dauphin,2,,,,
11/01/2022,Elk,,,,,37
12/15/2020,Erie,2,,,,
12/15/2020,Fayette,1,,,,
12/15/2020,Franklin,2,,,,
12/15/2020,Greene,1,,,,
12/15/2020,Lackawanna,5,,,,
12/15/2020,Lawrence,1,,,,
12/15/2020,Lebanon,1,,,,
12/15/2020,Lehigh,7,,,,
12/15/2020,Luzerne,4,,,,
12/15/2020,Mifflin,1,,,,
12/15/2020,Monroe,2,,,,
12/15/2020,Montgomery,11,,,,
12/15/2020,Montour,1,,,,
12/15/2020,Northampton,3,,,,
12/15/2020,Northumberland,1,,,,
11/24/2021,Westmoreland,304,133,751,,
12/15/2020,Schuylkill,2,,,,
12/15/2020,Union,2,,,,
12/15/2020,Venango,1,,,,
12/15/2020,Washington,3,,,,
